,city,Cloundiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,jijiga,35,ET,1665350250,70,9.35,42.8,64.13,4.45
1,ushuaia,40,AR,1665349883,81,-54.8,-68.3,44.26,14.97
2,lakes entrance,7,AU,1665350251,76,-37.8811,147.981,47.16,6.04
3,hobart,40,AU,1665349971,81,-42.8794,147.3294,49.05,10.36
4,kokkola,0,FI,1665350127,96,63.8385,23.1307,46.92,8.05
5,albany,85,US,1665350070,59,42.6001,-73.9662,58.23,8.39
6,buin,0,CL,1665350251,22,-33.7333,-70.75,79.12,6.42
7,kahului,40,US,1665350251,74,20.8947,-156.47,86.02,10.36
8,pevek,100,RU,1665350251,70,69.7008,170.3133,26.31,24.49
9,saint-pierre,0,RE,1665350071,73,-21.3393,55.4781,68.92,4.61
10,new norfolk,64,AU,1665350077,71,-42.7826,147.0587,48.7,1.01
11,boende,32,CD,1665350252,96,-0.2167,20.8667,71.04,1.07
12,lagoa,0,PT,1665350252,93,39.05,-27.9833,70.56,11.81
13,cape town,89,ZA,1665349798,76,-33.9258,18.4232,64.27,1.99
14,sao bento do sul,92,BR,1665350252,97,-26.2503,-49.3786,56.25,6.89
15,hilo,20,US,1665350077,68,19.7297,-155.09,91.27,9.22
16,rikitea,2,PF,1665350076,72,-23.1203,-134.9692,71.44,13.98
17,susurluk,97,TR,1665350210,81,39.9136,28.1578,60.84,2.44
18,daru,58,PG,1665350253,88,-9.0763,143.2092,79.66,10.36
19,mataura,100,NZ,1665350069,69,-46.1927,168.8643,51.57,4.34
20,puerto ayora,74,EC,1665350253,85,-0.7393,-90.3518,76.96,7.0
21,sao filipe,17,CV,1665350253,74,14.8961,-24.4956,78.33,9.89
22,novikovo,100,RU,1665350254,68,51.1537,37.8879,54.34,1.66
23,santa isabel do rio negro,63,BR,1665350254,37,-0.4139,-65.0192,94.53,3.69
24,port alfred,55,ZA,1665350077,92,-33.5906,26.891,60.19,8.75
25,luderitz,70,NA,1665350255,68,-26.6481,15.1594,63.99,2.89
26,merauke,96,ID,1665350255,90,-8.4667,140.3333,78.3,9.48
27,shimanovsk,22,RU,1665350255,61,52.0,127.7,27.79,1.81
28,atuona,8,PF,1665350080,68,-9.8,-139.0333,76.87,18.21
29,ilulissat,75,GL,1665350255,63,69.2167,-51.1,19.42,3.44
30,talnakh,100,RU,1665350255,98,69.4865,88.3972,32.81,9.08
31,sumbawanga,20,TZ,1665350256,38,-7.9667,31.6167,63.37,4.59
32,cejkovice,84,CZ,1665350256,67,48.9059,16.9423,51.08,5.84
33,bukachacha,72,RU,1665350256,68,52.9833,116.9167,26.89,2.66
34,leningradskiy,67,RU,1665350256,74,69.3833,178.4167,16.59,14.83
35,qaqortoq,100,GL,1665350256,92,60.7167,-46.0333,36.19,17.31
36,voiron,100,FR,1665350257,95,45.3639,5.5921,60.21,3.4
37,tres arroyos,35,AR,1665350257,30,-38.3739,-60.2798,58.17,12.44
38,australind,100,AU,1665350257,84,-33.2667,115.7167,53.96,8.41
39,fortuna,0,US,1665350257,77,40.5982,-124.1573,63.52,6.91
40,bonthe,93,SL,1665350257,86,7.5264,-12.505,77.88,4.52
41,quesnel,0,CA,1665350258,72,52.9999,-122.5029,57.7,0.0
42,bethel,20,US,1665350080,54,41.3712,-73.414,62.96,10.36
43,pisco,0,PE,1665350259,60,-13.7,-76.2167,68.05,10.36
44,victoria,40,HK,1665350080,62,22.2855,114.1577,73.33,21.0
45,upernavik,62,GL,1665350071,71,72.7868,-56.1549,14.4,5.48
46,iqaluit,75,CA,1665350259,74,63.7506,-68.5145,29.93,5.75
47,okha,10,RU,1665350259,84,53.5739,142.9478,32.13,7.61
48,yar-sale,100,RU,1665350259,95,66.8333,70.8333,42.28,13.58
49,bengkulu,100,ID,1665350259,88,-3.8004,102.2655,75.13,4.54
50,beringovskiy,4,RU,1665350260,47,63.05,179.3167,30.79,6.33
51,busselton,100,AU,1665349990,74,-33.65,115.3333,55.72,14.76
52,puntarenas,100,CR,1665350260,90,9.9763,-84.8384,75.58,7.9
53,chicama,94,PE,1665350260,63,-7.8447,-79.1469,59.54,9.08
54,katsuura,100,JP,1665350260,92,35.1333,140.3,71.01,16.37
55,tevriz,34,RU,1665350237,87,57.509,72.4042,38.57,5.23
56,hermanus,94,ZA,1665350072,91,-34.4187,19.2345,61.81,9.42
57,qui nhon,100,VN,1665350227,91,13.7667,109.2333,76.44,12.93
58,faya,2,SA,1665350261,22,18.3851,42.4509,63.12,6.44
59,bambous virieux,75,MU,1665350261,78,-20.3428,57.7575,71.22,11.5
60,calabozo,100,VE,1665350261,96,8.9242,-67.4293,75.42,4.45
61,benguela,68,AO,1665350261,79,-12.5763,13.4055,73.69,1.77
62,faanui,6,PF,1665350262,74,-16.4833,-151.75,78.67,18.39
63,longyearbyen,75,SJ,1665350071,75,78.2186,15.6401,37.24,14.97
64,hasaki,100,JP,1665350262,92,35.7333,140.8333,59.4,11.01
65,misratah,0,LY,1665350262,66,32.3754,15.0925,75.2,14.29
66,kapaa,0,US,1665350262,63,22.0752,-159.319,84.47,8.05
67,peoria,0,US,1665350263,33,40.7667,-89.7668,74.41,13.71
68,port elizabeth,84,ZA,1665349882,95,-33.918,25.5701,64.31,1.01
69,chokurdakh,100,RU,1665349833,93,70.6333,147.9167,18.86,11.79
70,mayna,89,RU,1665350263,76,54.1135,47.6231,46.24,8.39
71,waingapu,100,ID,1665350263,72,-9.6567,120.2641,80.64,2.26
72,jamestown,100,US,1665350069,44,42.097,-79.2353,57.52,16.11
73,lebu,0,CL,1665350263,72,-37.6167,-73.65,51.35,25.32
74,ponta do sol,58,PT,1665350263,55,32.6667,-17.1,68.63,3.85
75,yellowknife,75,CA,1665350078,87,62.456,-114.3525,46.92,16.11
76,sinnamary,81,GF,1665350263,80,5.3833,-52.95,81.41,11.61
77,sobolevo,16,RU,1665350069,93,54.4299,31.8996,43.41,8.52
78,westport,40,US,1665350264,51,41.1415,-73.3579,64.22,10.36
79,sitka,100,US,1665350264,94,57.0531,-135.33,55.29,8.05
80,bol,3,TD,1665350264,46,13.4586,14.7147,85.95,7.96
81,bluff,100,NZ,1665350264,71,-46.6,168.3333,51.39,11.95
82,tuktoyaktuk,75,CA,1665350264,100,69.4541,-133.0374,35.6,2.3
83,storforshei,75,NO,1665350264,100,66.4043,14.5233,42.66,2.3
84,stornoway,75,GB,1665350264,88,58.2093,-6.3865,46.92,13.8
85,hofn,80,IS,1665350265,62,64.2539,-15.2082,42.19,32.17
86,asau,99,RO,1665350265,82,46.4333,26.4,52.72,3.96
87,kodiak,0,US,1665350265,37,57.79,-152.4072,49.51,25.32
88,kiyasovo,89,RU,1665350265,83,56.3491,53.1244,46.06,11.3
89,sao joao da barra,90,BR,1665350265,84,-21.6403,-41.0511,77.09,21.43
90,srednekolymsk,94,RU,1665350265,72,67.45,153.6833,16.97,10.11
91,barrow,100,US,1665350076,69,71.2906,-156.7887,33.82,4.61
92,mamou,62,GN,1665350266,94,10.5,-12.0,69.12,0.92
93,kribi,33,CM,1665350266,88,2.95,9.9167,77.31,4.74
94,aras,0,ES,1665350266,72,42.5617,-2.356,57.63,1.14
95,cidreira,100,BR,1665350075,55,-30.1811,-50.2056,58.05,8.97
96,avarua,75,CK,1665350078,83,-21.2078,-159.775,73.45,16.11
97,arraial do cabo,75,BR,1665350266,88,-22.9661,-42.0278,75.06,9.22
98,douglas,0,US,1665350266,30,41.3,-96.167,78.6,11.5
99,benjamin aceval,100,PY,1665350266,70,-24.9667,-57.5667,55.6,10.56
100,port macquarie,93,AU,1665350266,74,-31.4333,152.9167,59.72,4.45
101,vardo,100,NO,1665350267,81,70.3705,31.1107,40.98,17.27
102,hamilton,0,US,1665350267,37,39.1834,-84.5333,65.75,11.5
103,obzor,13,BG,1665350268,63,42.8167,27.8833,61.27,5.35
104,dikson,100,RU,1665350268,97,73.5069,80.5464,33.15,19.35
105,butaritari,20,KI,1665350268,72,3.0707,172.7902,82.04,13.02
106,broome,100,US,1665350268,65,42.2506,-75.833,58.69,8.05
107,tanabe,95,JP,1665350268,93,33.7333,135.3667,72.19,9.24
108,vestmannaeyjar,8,IS,1665350269,69,63.4427,-20.2734,39.06,41.96
109,gaeta,100,IT,1665350269,86,41.2183,13.5628,63.75,7.61
110,ocos,100,GT,1665350269,75,14.5094,-92.1933,89.78,6.51
111,mirskoy,80,RU,1665350269,91,45.5439,40.3998,60.26,6.13
112,oussouye,68,SN,1665350269,86,12.485,-16.5469,80.69,4.94
113,camacupa,80,AO,1665350269,25,-12.0167,17.4833,66.58,2.26
114,port hardy,100,CA,1665350269,100,50.6996,-127.4199,50.18,3.44
115,portland,0,US,1665350270,41,45.5234,-122.6762,86.77,8.05
116,uyovu,100,TZ,1665350270,61,-3.2833,31.5258,71.08,3.36
117,geraldton,75,AU,1665350270,82,-28.7667,114.6,63.01,11.5
118,kaitangata,100,NZ,1665350079,65,-46.2817,169.8464,53.89,4.43
119,tiksi,71,RU,1665350270,96,71.6872,128.8694,11.59,8.48
120,saint-philippe,8,RE,1665350078,76,-21.3585,55.7679,67.59,10.11
121,matagami,0,CA,1665350270,75,49.7502,-77.6328,39.31,10.36
122,gravenhurst,100,CA,1665350270,71,44.9168,-79.3663,53.55,8.05
123,thompson,100,CA,1665350081,39,55.7435,-97.8558,55.0,9.24
124,roald,75,NO,1665350270,51,62.5833,6.1333,58.12,14.97
125,punta arenas,0,CL,1665350072,57,-53.15,-70.9167,50.11,51.79
126,esperance,100,AU,1665350070,89,-33.8667,121.9,56.35,2.51
127,rassvet,100,RU,1665350271,65,46.8333,40.75,63.21,11.48
128,zambezi,12,ZM,1665350271,27,-13.5432,23.1047,68.02,6.11
129,east london,59,ZA,1665350069,75,-33.0153,27.9116,67.15,5.46
130,luanda,20,AO,1665350084,88,-8.8368,13.2343,75.2,9.22
131,vila franca do campo,25,PT,1665350272,91,37.7167,-25.4333,74.19,5.44
132,tura,32,IN,1665350272,96,25.5198,90.2201,71.83,3.49
133,dingle,100,PH,1665350081,91,10.9995,122.6711,75.52,4.56
134,aksu,9,CN,1665350272,33,41.1231,80.2644,56.26,2.89
135,abu dhabi,0,AE,1665350149,65,24.4667,54.3667,84.22,3.44
136,uruguaiana,0,BR,1665350272,36,-29.7547,-57.0883,62.53,13.8
137,hualmay,55,PE,1665350272,74,-11.0964,-77.6139,66.27,11.7
138,chukhloma,100,RU,1665350273,93,58.7525,42.6825,46.49,4.76
139,goderich,87,CA,1665350273,67,43.7501,-81.7165,58.91,5.75
140,teya,99,RU,1665350273,96,60.3778,92.6267,36.99,2.62
141,hefei,0,CN,1665350273,87,31.8639,117.2808,44.62,4.47
142,kajaani,0,FI,1665350273,87,64.2273,27.7285,37.45,8.05
143,castro,88,BR,1665350081,82,-24.7911,-50.0119,66.15,5.32
144,adre,77,TD,1665350274,59,13.4667,22.2,78.98,7.05
145,dhidhdhoo,94,MV,1665350274,81,6.8833,73.1,80.28,14.5
146,nanortalik,100,GL,1665350069,93,60.1432,-45.2371,39.31,16.15
147,buluang,96,PH,1665350275,93,13.3068,123.3425,75.42,2.95
148,comodoro rivadavia,0,AR,1665350117,21,-45.8667,-67.5,67.86,16.11
149,vaini,75,TO,1665350276,88,-21.2,-175.2,75.36,13.8
150,namatanai,98,PG,1665350277,64,-3.6667,152.4333,79.84,7.0
151,tual,100,ID,1665350277,73,-5.6667,132.75,83.46,14.52
152,goure,27,NE,1665350277,17,13.9835,10.2704,89.15,9.01
153,khatanga,34,RU,1665350277,95,71.9667,102.5,0.28,3.91
